source_model,target_model,attack_name,total_images,total_successful_attacks,transfer_success,transfer_rate,attack_success_rate,timestamp
densenet121_adv_preattacked_20260415,resnet18_advanced,TPGD,500,500,33,0.066,1.0,2026-04-19 15:19:27
densenet121_adv_preattacked_20260415,densenet121_advanced,TPGD,500,500,486,0.972,1.0,2026-04-19 15:19:28
densenet121_adv_preattacked_20260415,mobilenet_v2_advanced,TPGD,500,500,27,0.054,1.0,2026-04-19 15:19:29
densenet121_adv_preattacked_20260415,efficientnet_b0_advanced,TPGD,500,500,22,0.044,1.0,2026-04-19 15:19:29
densenet121_adv_preattacked_20260415,vgg16_advanced,TPGD,500,500,37,0.074,1.0,2026-04-19 15:19:31
densenet121_adv_preattacked_20260415,efficientnet_b0_adv_preattacked_20260415,UPGD,500,500,30,0.06,1.0,2026-04-19 15:24:30
densenet121_adv_preattacked_20260415,mobilenet_v2_adv_preattacked_20260415,UPGD,500,500,50,0.1,1.0,2026-04-19 15:24:30
densenet121_adv_preattacked_20260415,resnet18_adv_preattacked_20260415,UPGD,500,500,54,0.108,1.0,2026-04-19 15:24:31
densenet121_adv_preattacked_20260415,vgg16_adv_preattacked_20260415,UPGD,500,500,68,0.136,1.0,2026-04-19 15:24:32
densenet121_adv_preattacked_20260415,resnet18_advanced,UPGD,500,500,70,0.14,1.0,2026-04-19 15:24:33
densenet121_adv_preattacked_20260415,densenet121_advanced,UPGD,500,500,485,0.97,1.0,2026-04-19 15:24:34
densenet121_adv_preattacked_20260415,mobilenet_v2_advanced,UPGD,500,500,53,0.106,1.0,2026-04-19 15:24:34
densenet121_adv_preattacked_20260415,efficientnet_b0_advanced,UPGD,500,500,48,0.096,1.0,2026-04-19 15:24:35
densenet121_adv_preattacked_20260415,vgg16_advanced,UPGD,500,500,57,0.114,1.0,2026-04-19 15:24:37
densenet121_adv_preattacked_20260415,efficientnet_b0_adv_preattacked_20260415,VMIFGSM,500,500,60,0.12,1.0,2026-04-19 15:51:40
densenet121_adv_preattacked_20260415,mobilenet_v2_adv_preattacked_20260415,VMIFGSM,500,500,68,0.136,1.0,2026-04-19 15:51:41
densenet121_adv_preattacked_20260415,resnet18_adv_preattacked_20260415,VMIFGSM,500,500,92,0.184,1.0,2026-04-19 15:51:41
densenet121_adv_preattacked_20260415,vgg16_adv_preattacked_20260415,VMIFGSM,500,500,80,0.16,1.0,2026-04-19 15:51:43
densenet121_adv_preattacked_20260415,resnet18_advanced,VMIFGSM,500,500,104,0.208,1.0,2026-04-19 15:51:43
densenet121_adv_preattacked_20260415,densenet121_advanced,VMIFGSM,500,500,492,0.984,1.0,2026-04-19 15:51:44
densenet121_adv_preattacked_20260415,mobilenet_v2_advanced,VMIFGSM,500,500,71,0.142,1.0,2026-04-19 15:51:45
densenet121_adv_preattacked_20260415,efficientnet_b0_advanced,VMIFGSM,500,500,66,0.132,1.0,2026-04-19 15:51:46
densenet121_adv_preattacked_20260415,vgg16_advanced,VMIFGSM,500,500,82,0.164,1.0,2026-04-19 15:51:48
densenet121_adv_preattacked_20260415,efficientnet_b0_adv_preattacked_20260415,VNIFGSM,500,500,75,0.15,1.0,2026-04-19 16:23:01
densenet121_adv_preattacked_20260415,mobilenet_v2_adv_preattacked_20260415,VNIFGSM,500,500,90,0.18,1.0,2026-04-19 16:23:01
densenet121_adv_preattacked_20260415,resnet18_adv_preattacked_20260415,VNIFGSM,500,500,101,0.202,1.0,2026-04-19 16:23:02
densenet121_adv_preattacked_20260415,vgg16_adv_preattacked_20260415,VNIFGSM,500,500,73,0.146,1.0,2026-04-19 16:23:03
densenet121_adv_preattacked_20260415,resnet18_advanced,VNIFGSM,500,500,130,0.26,1.0,2026-04-19 16:23:04
densenet121_adv_preattacked_20260415,densenet121_advanced,VNIFGSM,500,500,489,0.978,1.0,2026-04-19 16:23:05
densenet121_adv_preattacked_20260415,mobilenet_v2_advanced,VNIFGSM,500,500,95,0.19,1.0,2026-04-19 16:23:05
densenet121_adv_preattacked_20260415,efficientnet_b0_advanced,VNIFGSM,500,500,88,0.176,1.0,2026-04-19 16:23:06
densenet121_adv_preattacked_20260415,vgg16_advanced,VNIFGSM,500,500,84,0.168,1.0,2026-04-19 16:23:08
